Restaurant Name,Average Rating,Average Votes
Talaga Sampireun,4.9,1838.0
AB's Absolute Barbecues,4.85,1575.5
Silantro Fil-Mex,4.85,682.0
AB's - Absolute Barbecues,4.825,3350.0
Naturals Ice Cream,4.800000000000001,1547.0
Gymkhana,4.7,164.0
The Cheesecake Factory,4.65,1505.0
Garota de Ipanema,4.6,29.5
Dishoom,4.6,634.5
Chili's,4.58,1631.2
Coco Bambu,4.550000000000001,23.5
Twigly,4.55,235.5
Natural Ice Cream,4.5,366.0
Onesta,4.5,940.3333333333334
Big Chill,4.475,2713.25
The Big Chill Cakery,4.45,529.5
Burgrill,4.45,213.5
Food Scouts,4.433333333333334,104.0
Matchbox,4.4,607.0
Bombay Brasserie,4.4,992.0
Farzi Cafe,4.366666666666666,1683.0
Barbeque Nation,4.353846153846154,1082.3846153846155
Din Tai Fung,4.35,498.5
The Cafe,4.35,295.0
Underdoggs Sports Bar & Grill,4.35,173.0
Punjab Grill,4.34,1084.8
SpiceKlub,4.300000000000001,1825.5
D�_vero��lu,4.300000000000001,141.5
Palmshore,4.3,742.6666666666666
Effingut Brewerkz,4.3,953.0
Crudo Juicery,4.3,93.5
Stop My Starvation,4.3,104.5
The Fisherman's Wharf,4.266666666666667,340.6666666666667
Big Yellow Door,4.266666666666667,2503.6666666666665
Manohar Dairy And Restaurant,4.25,240.5
Mellow Mushroom,4.25,312.5
Joey's Pizza,4.25,3903.5
The Mad Teapot/The Wishing Chair,4.25,167.0
Perch Wine & Coffee Bar,4.25,332.5
San Carlo,4.25,446.5
Dilli BC,4.25,175.5
Ceviche Tapas Bar & Restaurant,4.25,996.5
Hard Rock Cafe,4.2,1163.6666666666667
Bake N Shake,4.2,148.66666666666666
Whipped,4.2,748.5
Timboo Cafe,4.2,106.5
Caffe 9,4.2,515.0
Mocha,4.185714285714286,444.42857142857144
Chaophraya,4.166666666666667,168.33333333333334
Mamagoto,4.166666666666667,877.6666666666666
Zaffran,4.166666666666667,553.6666666666666
Gazebo,4.166666666666667,426.3333333333333
Olive Bistro,4.15,1854.0
The National,4.15,338.5
Saravana Bhavan,4.133333333333334,2412.6666666666665
Ichiban,4.1,766.5
The Chatter House,4.1,1068.0
Barbeque Ville,4.1,186.0
The Flying Saucer Cafe,4.1,1572.5
Oh! Calcutta,4.1,999.5
SodaBottleOpenerWala,4.066666666666666,1791.3333333333333
Made In Punjab,4.05,958.5
Smoke House Deli,4.05,1146.0
Granite City Food & Brewery,4.05,314.0
Jamie's Italian,4.05,165.75
The Creamery,4.05,207.5
Coldpress Company,4.05,54.0
Midnight Hunger Hub,4.033333333333333,38.0
QD's Restaurant,4.033333333333333,1178.6666666666667
Cafe Delhi Heights,4.033333333333333,903.6666666666666
Pirates of Grill,4.0249999999999995,1772.75
The Barbeque Company,4.0,434.5
Drifters Cafe,4.0,124.0
Asian Haus,4.0,523.0
Cinnabon,4.0,378.5
Delhi Club House,4.0,248.5
The Breakfast Club,4.0,251.0
Dunkin Donuts,4.0,94.0
Biryani By Kilo,4.0,184.33333333333334
10 Downing Street,4.0,335.0
Rhinehart's Oyster Bar,4.0,391.0
La Pino'z Pizza,3.966666666666667,131.33333333333334
Movenpick,3.966666666666667,84.33333333333333
Bikkgane Biryani,3.9666666666666663,627.3333333333334
Truffles,3.95,4841.0
Big Wong XL,3.95,180.5
Bun Intended,3.95,153.75
Sumo Sushi,3.95,45.5
Gung The Palace,3.95,315.0
Pebble Street,3.95,851.5
Smaaash,3.95,371.5
Circus,3.95,359.5
The Crab Shack,3.9499999999999997,556.0
Chili's Grill & Bar,3.9499999999999997,406.5
Wood Box Cafe,3.9499999999999997,1724.5
Krispy Kreme,3.9333333333333336,419.0
Tea Villa Cafe,3.925,1291.75
Imly,3.9,844.5
Dezertfox,3.9,90.5
New Town Cafe - Park Plaza,3.9,202.0
Applebee's,3.9,264.25
Munch Nation,3.9,411.5
Kebab Gali,3.9,272.0
Desi Vibes,3.9,1014.3333333333334
Taco Bell,3.8666666666666667,275.0
Side Wok,3.8666666666666667,291.6666666666667
Zizo,3.8666666666666667,457.0
Naivedyam,3.8666666666666667,827.0
Mr. Brown,3.8666666666666667,95.0
Happy Hakka,3.8600000000000003,294.2
Texas Roadhouse,3.8600000000000003,156.6
Eggers Madhouse,3.85,349.0
Tipu Sultan,3.85,213.5
TGI Friday's,3.85,726.1666666666666
Blue Tokai Coffee Roasters,3.85,139.5
Out Of The Box,3.85,2450.0
Cafe Diva,3.8499999999999996,228.0
Caffe Tonino,3.8499999999999996,802.0
Baker Street,3.8499999999999996,415.5
The Junkyard Cafe,3.8499999999999996,882.5
China Garden,3.8499999999999996,579.5
Raasta,3.8499999999999996,1471.5
Jungle Jamboree,3.8249999999999997,676.25
L'Opera,3.8200000000000003,209.2
Starbucks,3.8055555555555554,396.6111111111111
Goosebumps,3.8000000000000003,129.0
Wok On Fire,3.8000000000000003,180.66666666666666
D�_ner Grill,3.8000000000000003,196.66666666666666
Theos,3.8,264.5
Frozen Factory,3.8,75.5
First Eat,3.8,109.5
Hwealthcafe,3.8,126.0
Instapizza,3.8,281.2
Wendy's,3.8,407.0
HuHot Mongolian Grill,3.766666666666667,206.0
A Piece of Paris,3.75,40.5
The Diet Kitchen,3.75,52.333333333333336
Teddy Boy,3.75,763.5
Anjlika Pastry Shop,3.75,174.5
Baker's Stop,3.75,120.5
Fat Lulu's,3.75,159.5
bu��no,3.75,58.5
Baking Bad,3.75,397.5
Fit Bites,3.75,90.0
Mad Over Donuts,3.7399999999999998,135.2
Puri Bakers,3.725,108.0
FreshMenu,3.725,116.75
Mainland China,3.716666666666667,423.5
Bijoli Grill,3.7,262.5
Manohar Bikkaneri,3.7,72.5
Nooba,3.7,240.5
Chick-fil-A,3.7,96.0
Punjabi By Nature,3.7,1013.0
The Pint Room,3.7,101.5
Paradise,3.7,687.0
Beijing Street,3.7,121.0
Kaveri Restaurant And Caterers,3.7,236.0
Pita Pit,3.7,340.6
Fish Streat,3.7,241.5
Defence Bakery,3.6999999999999997,263.6666666666667
Amici Cafe,3.6999999999999997,632.0
Sibang Bakery,3.6999999999999997,120.0
RollsKing,3.6999999999999997,259.14285714285717
The Chai Story,3.6999999999999997,68.66666666666667
Biryani Art,3.6999999999999997,176.0
The Yellow Chilli,3.6714285714285713,218.0
Biryani Blues,3.6666666666666665,129.33333333333334
The Midnight Heroes,3.66,222.2
Harry's Bar + Cafe,3.6500000000000004,393.5
Shake Square,3.6500000000000004,797.0
Cafe Coffee Day The Square,3.6500000000000004,205.0
Cafe Brown Sugar,3.6500000000000004,275.5
La Americana,3.6500000000000004,90.0
Nanking,3.6500000000000004,284.5
Drool Waffles,3.6500000000000004,118.5
Deez Biryani & Kebabs,3.6500000000000004,383.0
Red Mango,3.6500000000000004,275.0
Nizam's Kathi Kabab,3.65,589.0
Otik Cake Shop,3.65,135.5
Sandwich King,3.65,157.0
Qureshi Kabab Corner,3.65,40.5
Carl's Jr.,3.65,251.5
Town Hall,3.65,599.5
Arabian Nites,3.65,198.5
Sushiya Express,3.6333333333333333,48.0
Haldiram's,3.625,282.8125
Swagath,3.62,363.8
Liquid,3.6,17.5
Bakers Oven,3.6,126.0
Veg Ex,3.6,37.666666666666664
Kati Roll Cottage,3.6,26.5
Arabian Delites,3.6,107.0
Hot Cherries,3.6,100.0
Moti Mahal Delux- Legendary Culinary,3.6,124.5
Wagh Bakri Tea Lounge,3.6,51.0
Mysore Cafe,3.6,145.5
Twisted Tacos,3.5999999999999996,121.0
Suruchi,3.5999999999999996,418.0
Qureshi's Kabab Corner,3.575,186.0
Nutritious Nation,3.55,208.0
Imperfecto,3.55,1273.0
Garam Dharam,3.55,902.5
Kake Di Hatti,3.55,339.0
Laxmi Ice Cream,3.55,59.0
Ashoka Restaurant,3.55,159.0
Perfect Bake,3.55,82.5
Hornbill,3.55,78.0
Little Italy,3.55,113.5
Wai Yu Mun Ching,3.55,216.5
Miam,3.55,27.5
Ashok Meat Wala,3.55,73.0
Captain Grub,3.54,281.6
Chaayos,3.5388888888888888,137.38888888888889
Indian Coffee House,3.533333333333333,603.6666666666666
Khidmat,3.5,370.5
Beliram Degchiwala,3.5,166.5
Hungry Minister,3.5,88.0
The Great Kabab Factory,3.5,519.0
Hunger Strike,3.5,81.0
Mirchievous,3.5,25.0
Gupta Chat Corner,3.5,71.5
Paramjeet Machi Wala,3.5,76.0
New Punjabi Khana,3.5,56.0
Doughlicious,3.5,101.33333333333333
Changezi Chicken,3.5,339.0
Fabulous Cake Bites,3.5,33.5
The Chocolate Room,3.5,107.0
Spice Route,3.5,159.5
ZASTY,3.5,40.0
4700BC Popcorn,3.5,88.0
The Culinary Pitaara,3.5,51.0
Hurry's Paratha,3.5,46.0
Open Oven,3.475,138.25
Hong Kong Express,3.475,127.5
Speedy Chow,3.466666666666667,207.66666666666666
Patiala Shahi,3.45,98.0
Nagpal's,3.45,83.0
Vadapav Junction,3.45,31.0
Midnight Hunger,3.45,27.5
Chokola,3.45,198.5
Moksha,3.45,82.0
Haldiram Bhujiawala,3.45,31.0
Paapi Paet,3.45,159.0
Spooky Sky,3.45,41.0
Prince Chaat Corner,3.45,48.0
Kanha Sweets,3.4499999999999997,82.0
Druk,3.4499999999999997,37.5
Shyam Sweets,3.4499999999999997,104.5
Kanwarji's,3.4333333333333336,77.33333333333333
Cafe Turtle,3.4333333333333336,287.0
Urban Punjab,3.4333333333333336,134.33333333333334
Tikka Junction,3.4333333333333336,50.0
Burger Singh,3.4333333333333336,252.33333333333334
The Coffee Bean & Tea Leaf,3.425,213.75
Cocoberry,3.4222222222222225,62.666666666666664
Angels in my Kitchen,3.4125,155.125
Burger King,3.40625,288.5625
Shawarma King's,3.4000000000000004,71.5
Habibi,3.4000000000000004,165.0
Oberoi's,3.4000000000000004,41.5
Sbarro,3.4,704.0
Hot Stuff,3.4,59.5
Litti.In,3.4,156.0
Chawnsan Chef,3.4,58.5
Baked Buns,3.4,91.0
Sonya Bakery Cafe,3.4,27.0
South Indian Corner,3.4,44.5
Tamura,3.4,91.0
Pasta Hut,3.4,58.0
MR.D - Deliciousness Delivered,3.4,257.5
Little Chef,3.4,106.0
Rollmaal,3.4,239.66666666666666
Jack Po!tato's,3.4,26.0
Havmor Ice Cream,3.3666666666666667,19.0
221 B Baker Street,3.3666666666666667,71.66666666666667
High On Burgers,3.35,76.0
Chalte Firte Momos & Special Foods,3.35,133.5
Weird Time Food,3.35,28.0
The Bake Studio,3.35,49.0
Big Dragon,3.35,94.5
Roti Aur Boti,3.35,28.0
Koyla Kebab,3.35,70.5
Chawla's,3.3499999999999996,92.5
Oh Buoy,3.3499999999999996,52.5
Sethi's The Cake Shop,3.3499999999999996,83.0
Papa Veg Chinese Food,3.3499999999999996,31.0
McDonald's,3.3395833333333336,110.22916666666667
Not Just Paranthas,3.3333333333333335,549.0
Bharat Sweets,3.3333333333333335,21.666666666666668
Nazeer Foods,3.3285714285714287,232.57142857142858
Pizza Hut,3.32,165.36666666666667
Crust N Cakes,3.3,12.0
Bon Bon Pastry Shop,3.3,152.0
Hotel Malabar,3.3,76.5
Spanish Delights,3.3,16.5
Italiano,3.3,337.0
Bhappe Di Hatti,3.3,22.5
Fast Trax,3.3,103.5
Gola Sizzlers,3.3,492.0
Mitthu Tikki Wala,3.3,33.5
Nazeer Delicacies,3.3,92.0
Gopala,3.29,26.4
BTW,3.2857142857142856,142.57142857142858
Kake Da Hotel,3.28,465.4
Punjab Restaurant,3.266666666666667,45.666666666666664
BarShala,3.266666666666667,28.333333333333332
Nawabi Mughlai Zaika,3.25,26.5
Cake Palace,3.25,85.5
Kamal's,3.25,194.5
Kumar Pastry Shop,3.25,39.5
Khalsa Veg Corner,3.25,16.0
Au Bon Pain,3.25,255.5
Vaishno Punjabi Dhaba,3.25,41.0
Embassy,3.25,416.0
Dabba Meat,3.25,112.0
Jahangeer Foods,3.25,94.0
Green Leaf,3.25,110.0
Bhoj Restaurant,3.25,71.5
Yumm Biryani,3.2,93.5
Chaap Point,3.2,17.0
Rajshree,3.2,13.5
Burger Hut,3.2,167.5
Organic Express,3.2,13.5
Colonel's Kababz,3.2,191.5
Moon Bite,3.2,95.0
SGF - Spice Grill Flame,3.2,37.4
Relax Xpress,3.2,50.0
Big Fat Sandwich,3.2,126.5
Chao Cart,3.2,18.0
Bikanervala,3.192857142857143,212.85714285714286
Behrouz Biryani,3.1846153846153844,39.15384615384615
Nite Bites,3.175,126.75
Pudding & Pie,3.1666666666666665,43.0
Cakes & Bakes,3.1666666666666665,30.666666666666668
Berco's,3.1666666666666665,599.3333333333334
True Blue,3.1666666666666665,22.666666666666668
Cook Du Kdu,3.1500000000000004,82.0
JSB Evergreen Snack & Sweets,3.1500000000000004,44.0
Hungry - I,3.1500000000000004,228.5
Bake Club,3.1500000000000004,29.5
Adyar Ananda Bhavan,3.15,203.5
Punjabee's Darbar,3.15,26.5
Bhimsain's Bengali Sweet House,3.15,282.0
Zooby's Kitchen,3.15,26.0
Le Chef,3.15,70.0
Go Kylin,3.15,45.0
Burger Point,3.1454545454545455,52.18181818181818
Nando's,3.1399999999999997,809.0
Dunkin' Donuts,3.1363636363636362,271.54545454545456
Om Sweets & Snacks,3.1333333333333333,212.66666666666666
Shahenshah,3.1333333333333333,24.0
Health Buzzz,3.1333333333333333,13.333333333333334
Punjabi Pakwaan,3.1333333333333333,66.33333333333333
KB's Kulfi & Icecream,3.133333333333333,24.333333333333332
Bawarchi,3.125,21.5
DCK- Dana Choga's Kitchen,3.125,259.25
Rainbows,3.1,28.25
Dilli Darbar,3.1,68.0
